,negative,neutral,positive
ergonomicthe,0,0,2.5
eri,2.5,0,0
eric,2.095903274,3.321928095,1.285097209
erica,0,0,2.5
erichanko,0,0,2.5
ericstxgal,0,0,2.5
erie,2.5,0,0
erika,0,0,2.5
erikgelderblom,0,0,2.5
erin,3.321928095,0,3.321928095
erineven,0,0,2.5
erinmaher,0,0,2.5
erj,0,2.5,0
erlang,0,0,2.5
erm,0,0,5
ernest,3.321928095,3.321928095,0
ernie,1.804118845,0.969547987,4.947930664
eroded,2.5,0,0
erotic,17.24377353,0,1.107309365
erotically,5,0,0
eroticized,2.5,0,0
err,3.321928095,0,3.321928095
erratic,10,0,0
erring,2.5,0,0
erro,0,0,2.5
erroneous,0,0,2.5
error,12.62925314,1.285097209,0
errored,2.5,0,0
erroring,2.5,0,0
errrr,0,0,2.5
erupt,2.5,0,0
es,0,0,5
esb,0,0,2.5
escalate,2.5,0,0
escalating,0,2.5,0
escape,5.094382474,0.960252568,1.772196759
escaped,4.507575552,1.430676558,1.430676558
escapes,7.5,0,0
escaping,2.095903274,0,5.678873587
escapist,3.321928095,0,3.321928095
escher,0,0,2.5
eschews,2.5,0,0
escort,2.5,0,0
escorted,2.5,0,0
esdrasbeleza,0,0,2.5
esdrtfgyhbnujmkjnbgvfcdfc,0,0,2.5
esma,0,0,2.5
esoteric,2.5,0,0
esp,2.095903274,0,5.678873587
espcially,0,0,2.5
especially,2.143345295,1.541876199,2.757371328
esperanto,0,0,2.5
espiral,0,0,2.5
espn,5.678873587,0,2.095903274
espoused,2.5,0,0
espresso,0,0,2.5
esque,0,0,2.5
essay,0,0,2.5
essential,1.15566665,4.376763563,1.772196759
essentially,3.567028428,2.142906945,1.146235371
est,19.54937806,0,1.047951637
establish,2.095903274,2.095903274,2.095903274
established,3.321928095,0,3.321928095
establishes,5.678873587,0,2.095903274
establishing,2.5,0,0
esteemed,2.5,0,0
estela,2.5,0,0
esther,5.678873587,0,2.095903274
estimat,2.5,0,0
estimate,1.430676558,1.430676558,4.507575552
estimated,5.678873587,1.285097209,1.285097209
estranged,5,0,0
estrogen,2.5,0,0
et,1.660964047,1.660964047,3.321928095
etailw,0,2.5,0
etc,1,2.941625833,2.826964237
etched,2.5,0,0
eternal,5,0,0
eternalesme,0,0,2.5
eternally,3.321928095,3.321928095,0
ethan,2.095903274,0,5.678873587
ether,0,0,2.5
ethereal,7.5,0,0
ethical,5,0,0
ethics,0,0,2.5
ethiopia,0,5,0
ethiopian,0,0,2.5
ethnic,6.843313779,1.838005394,0
ethnographic,2.5,0,0
ethos,2.5,0,0
etsy,0,0,5
ettelinah,0,0,2.5
etymotic,0,0,2.5
eu,2.5,0,0
euh,0,0,2.5
euro,0,0,2.5
eurolive,0,0,2.5
europe,2.095903274,2.095903274,2.095903274
european,2.095903274,1.660964047,2.630116867
euros,0,2.5,0
ev,2.095903274,0,5.678873587
eva,0,2.5,0
evacuat,2.5,0,0
evacuated,0,0,2.5
evade,5,0,0
evaded,2.5,0,0
evaluate,3.321928095,0,3.321928095
evanescence,0,0,2.5
evanescent,2.5,0,0
evangelical,3.321928095,0,3.321928095
evans,5,0,0
evaporate,0,0,7.5
evaporates,3.321928095,0,3.321928095
evasive,2.5,0,0
eve,2.276179338,1.772196759,2.276179338
eveforhermcr,0,0,2.5
evelyn,3.321928095,0,3.321928095
even,2.771139776,1.59544354,2.066624509
evenhanded,0,2.5,0
evening,2.630116867,1.285097209,2.630116867
evenly,1.604494406,4.801322651,1.183294662
evennotified,2.5,0,0
eventful,3.321928095,3.321928095,0
eventual,10.31885116,1.430676558,0
eventually,2.613933882,1.99499283,1.759938342
eventuell,0,0,2.5
ever,3.099030549,1.209190109,2.350016427
everlasting,5.678873587,1.285097209,1.285097209
everlyn,2.5,0,0
everthing,0,0,2.5
everybody,0,0,7.5
everyday,1.35068935,3.471438515,1.928588458
everyman,2.5,0,0
everyon,0,0,2.5
everyonee,0,0,2.5
everyth,0,0,2.5
everythi,0,0,5
everythingsgonnabealright,0,0,2.5
everytime,3.321928095,1.107309365,2.34759015
everytine,0,0,2.5
everyting,0,2.5,0
everywhere,1.396641523,1.230143399,5.419336716
eveything,0,0,2.5
evidenced,0,2.5,0
evident,4.507575552,1.430676558,1.430676558
evidently,2.5,0,0
evie,0,0,2.5
evil,10.31885116,0,1.430676558
evileuropean,0,0,2.5
eviltwinbrian,0,0,2.5
evincing,0,0,2.5
evinsmj,0,0,2.5
evntaccomplishd,0,0,2.5
evo,0,0,2.5
evocative,5.678873587,1.285097209,1.285097209
evoke,4.11458208,1.183294662,1.838005394
evoked,2.5,0,0
evokes,6.843313779,1.838005394,0
evoking,5,0,0
evolved,8.00392278,0,1.660964047
evolves,5,0,0
evolving,2.5,0,0
evoucher,0,2.5,0
evp,0,0,2.5
evphonehome,0,0,2.5
evr,2.5,0,0
evry,2.5,0,0
ewaninbelfast,0,0,2.5
ewk,2.5,0,0
ewr,6.526206343,1.628772687,0.789159021
eww,0,0,2.5
ex,4.507575552,1.430676558,1.430676558
exac,0,0,2.5
exacerbated,0,0,2.5
exacerbates,2.5,0,0
exact,1.541298963,1.735349703,3.421656889
exacting,0,2.5,0
exactly,1.381834094,1.381834094,4.851402385
exaggerated,12.62925314,1.285097209,0
exalted,5.678873587,0,2.095903274
exalts,2.5,0,0
exam,0,0,7.5
examine,1.53089535,3.917382327,1.53089535
examined,0,2.5,0
examines,10,0,0
examining,3.321928095,0,3.321928095
exams,0,0,2.5
exasperated,2.5,0,0
exasperating,5.678873587,2.095903274,0
exasperatingly,3.321928095,3.321928095,0
exceed,1.047951637,1.047951637,9.162168319
exceeded,0,0,17.5
exceeding,3.321928095,0,3.321928095
exceedingly,2.839436794,1.53089535,2.095903274
exceeds,1.183294662,1.183294662,6.843313779
excel,0,0,5
excelent,0,0,5
excelle,0,0,2.5
excellen,0,0,2.5
excellent,1.217751086,1.314945067,5.868791099
excellentcusto,0,0,2.5
excellently,0,0,5
excels,3.321928095,0,3.321928095
except,2.5,0,0
excepting,2.5,0,0
exceptiona,0,0,2.5
exceptional,1.70571118,1.205830762,4.400560461
exceptionally,3.321928095,0,3.321928095
excess,1.305624851,3.188581074,2.151061298
excessive,0,6.145250461,1.979610102
excessively,7.5,0,0
exchange,0,10.31885116,1.430676558
exchanged,0,12.5,0
exciited,0,0,2.5
excitable,0,0,2.5
excite,2.5,0,0
excited,0.867327166,1.140561618,10.14098012
excites,2.5,0,0
excitied,0,0,2.5
exciting,2.576123341,1.058780674,3.113001502
exclude,0,0,2.5
excluding,0,0,2.5
exclusive,2.095903274,5.678873587,0
exclusively,3.85152657,1.430676558,1.660964047
excruciating,4.507575552,0,2.512941595
excruciatingly,10,0,0
exctly,0,0,2.5
excuse,10.31885116,1.430676558,0
excuses,3.321928095,0,3.321928095
exe,0,2.5,0
exec,7.5,0,0
execplat,0,2.5,0
execptional,0,0,2.5
execrable,2.5,0,0
execute,0,0,2.5
executed,6.843313779,0.87250287,1.49475316
executing,0,0,2.5
executive,5,0,0
exegetical,0,0,2.5
exemplary,0,0,5
exemplify,2.5,0,0
exercising,0,0,2.5
exert,0,0,2.5
exerts,0,10,0
exha,2.5,0,0
exhaust,0,2.5,0
exhausted,5.678873587,1.285097209,1.285097209
exhausting,3.321928095,1.660964047,1.660964047
exhaustingly,2.5,0,0
exhaustive,0,10.31885116,1.430676558
exhibit,0,0,2.5
exhibited,2.5,0,0
exhibits,2.5,0,0
exhilarated,0,0,2.5
exhilarating,6.067583832,1.477773672,1.022783939
exhilaratingly,2.5,0,0
exhorbit,2.5,0,0
exhuming,2.5,0,0
exicted,0,0,2.5
exiled,3.321928095,0,3.321928095
exist,2.785345076,1.979610102,1.660964047
existed,10.31885116,1.430676558,0
existent,7.5,0,0
existential,12.62925314,0,1.285097209
existing,1.619957992,2.869813942,1.967901602
exists,3.321928095,1.660964047,1.660964047
exit,2.095903274,3.321928095,1.285097209
exited,0,3.321928095,3.321928095
exiting,3.321928095,0,3.321928095
exotic,8.00392278,1.660964047,0
exp,1.53089535,1.047951637,5.678873587
expand,1.183294662,1.838005394,4.11458208
expandable,0,5,0
expanded,1.570297268,6.261707716,0.897711718
expander,0,0,2.5
expanding,0,3.321928095,3.321928095
expands,4.507575552,1.430676558,1.430676558
expe,3.321928095,0,3.321928095
expec,0,0,2.5
expect,2.22577493,1.732897115,2.378373551
expecte,0,2.5,0
expected,1.173435696,3.195610826,2.334688648
expecteda,0,0,2.5
expectedalbeit,0,0,2.5
expecting,2.357974885,2.120812611,1.838005394
expects,5.678873587,2.095903274,0
expecttoconnect,0,0,2.5
expedia,5.678873587,0,2.095903274
expedient,3.321928095,3.321928095,0
expedite,0,2.5,0
expedited,3.321928095,1.660964047,1.660964047
expeditious,3.321928095,0,3.321928095
expend,2.5,0,0
expense,2.5,0,0
expensive,1.043180022,1.582220363,5.474801367
expensivemonster,0,0,2.5
expensiveon,0,0,2.5
exper,0,0,2.5
experement,0,10.31885116,1.430676558
experie,2.5,0,0
experience,1.724781463,1.724781463,3.08155877
experienced,2.198551831,1.997593497,2.095903274
experiencing,3.321928095,0,3.321928095
experiment,1.256470797,3.137168659,2.253787776
experimental,8.776290848,1.570297268,0
experimented,0,0,7.5
experimenting,0,0,22.5
expert,3.321928095,0,3.321928095
expertly,2.717562738,1.838005394,1.838005394
expire,10.31885116,1.430676558,0
expired,5.211440485,1.838005394,0.87250287
expires,6.843313779,1.838005394,0
expiring,2.095903274,2.095903274,2.095903274
expla,2.5,0,0
explai,2.5,0,0
explain,4.569480887,1.467908789,1.375518225
explained,6.455696236,1,1.430676558
explaining,4.507575552,0,2.512941595
explains,2.095903274,3.662986595,1.142777131
explanatory,0,2.5,0
explandable,0,2.5,0
explicit,1.838005394,4.11458208,1.183294662
explo,0,0,2.5
explode,5.678873587,2.095903274,0
exploit,6.843313779,1.183294662,1.183294662
exploitative,10.31885116,1,1
exploiting,7.5,0,0
exploitive,7.5,0,0
exploits,0,2.5,0
exploratory,2.5,0,0
explore,2.512941595,2.095903274,1.742065383
explored,2.512941595,4.507575552,0
explorer,0,2.5,0
explores,3.321928095,1.430676558,1.912489289
exploring,14.93723606,0,1.183294662
explosive,7.5,0,0
expo,0,0,2.5
exporing,0,2.5,0
exporting,0,0,2.5
expos,2.5,0,0
expose,2.5,0,0
exposed,2.095903274,1.047951637,3.917382327
exposes,8.00392278,1.660964047,0
exposing,3.321928095,1.660964047,1.660964047
expository,2.5,0,0
expound,3.321928095,0,3.321928095
expounded,0,0,5
express,6.455696236,1,1.430676558
expressdaily,0,0,2.5
expressed,3.321928095,1.660964047,1.660964047
expresses,5,0,0
expressing,5,0,0
expressionist,2.5,0,0
expressionistic,3.321928095,0,3.321928095
expressive,10.31885116,1.430676558,0
expressively,2.5,0,0
expressly,2.5,0,0
exps,0,0,5
exquisite,19.54937806,0,1.047951637
exquisitely,1.53089535,2.095903274,2.839436794
exspect,0,0,2.5
ext,3.321928095,0,3.321928095
extant,2.5,0,0
extemporaneously,0,0,2.5
extend,6.037705761,0.620045889,1.8740538
extendable,0,0,5
extended,1.997593497,1.724781463,2.66195597
extending,1.183294662,4.11458208,1.838005394
extends,0,3.321928095,3.321928095
extensive,3.321928095,1.285097209,2.095903274
extensively,0,2.095903274,5.678873587
extenuating,2.5,0,0
exterior,4.507575552,0,2.512941595
external,0,1.808835177,7.009304677
externally,0,2.5,0
extinct,2.5,0,0
extolling,0,0,2.5
extols,0,2.5,0
extra,1.718636501,1.762742338,3.026271441
extracting,2.5,0,0
extralight,0,0,2.5
extraneous,0,0,10
extraordinarily,5.678873587,0,2.095903274
extraordinary,5.345117011,1.213726655,1.430676558
extras,0,2.5,0
extraterrestrial,0,2.5,0
extravagant,10,0,0
extravagantly,2.5,0,0
extravaganza,2.5,0,0
extravaganzas,2.5,0,0
extreamly,0,0,2.5
extrem,0,0,2.5
extreme,7.423983574,1.285097209,1
extremely,2.252293664,1.490811079,2.70456075
extremist,2.5,0,0
extruding,0,0,2.5
exuberant,2.5,0,0
exuberantly,3.321928095,3.321928095,0
exude,2.095903274,5.678873587,0
exudes,1.660964047,3.321928095,1.660964047
ey,2.5,0,0
eyeball,0,2.5,0
eyebrow,0,0,2.5
eyed,6.145250461,1.375518225,1.107309365
eyeing,0,0,2.5
eyeko,0,0,2.5
eyewitness,2.5,0,0
eyre,3.321928095,3.321928095,0
eyw,3.321928095,0,3.321928095
eyyyy,0,0,2.5
ez,0,0,15
ezdrummer,0,0,5
ezee,0,2.5,0
ezsther,0,0,2.5
ezx,0,0,2.5
fa,1.107309365,1.107309365,8.00392278
faa,10.31885116,1.430676558,0
faanews,2.5,0,0
fab,0,1.162333865,15.51398069
fabian,2.5,0,0
fable,3.719611071,1.570297268,1.570297268
fabric,0,4.11458208,2.717562738
fabricated,2.5,0,0
fabulo,0,0,2.5
fabulous,1.388581659,0.756304196,8.46744983
fabulously,2.5,0,0
face,4.376763563,1.772196759,1.15566665
facebook,0,2.512941595,4.507575552
facebooking,0,0,2.5
faced,9.547874667,0,1.49475316
faceman,0,0,2.5
faces,2.095903274,2.095903274,2.095903274
facetious,5,0,0
facial,1.430676558,2.512941595,2.512941595
facil,0,2.5,0
facile,1.660964047,8.00392278,0
facilitating,0,0,2.5
facing,2.839436794,1.047951637,2.839436794
factor,0,0,7.5
factory,0,0,5
fade,1.772196759,2.9203673,1.772196759
faded,0.850274154,5.678873587,1.742065383
fading,0,2.5,0
fail,3.225964229,1.448863633,1.945128618
failed,3.401729167,1.133478614,2.257809544
failing,7.617369497,0,1.713571148
failingyourcustomer,2.5,0,0
fails,5.094382474,1.35068935,1.35068935
failure,0,0,2.5
faint,0,0,5
faintly,0,2.5,0
faiqa,0,0,2.5
fair,1.674770962,1.967901602,2.779818968
fairly,1.613452949,2.058057053,2.75347149
fairness,3.321928095,0,3.321928095
fairs,0,2.5,0
fairtrade,0,0,2.5
fairy,9.162168319,1.047951637,1.047951637
fairys,0,0,2.5
faith,4.507575552,1.430676558,1.430676558
faithful,2.978033117,1.953570044,1.570297268
faithfully,0,0,5
fake,2.595037532,0,4.339356392
fakecedric,0,0,5
faked,3.321928095,0,3.321928095
fakesi,2.5,0,0
faking,0,3.321928095,3.321928095
fall,1.601700657,1.601700657,3.573461659
fallen,4.507575552,1.430676558,1.430676558
falli,2.5,0,0
fallible,2.5,0,0
falling,1.300376807,1.901249763,3.647533721
fallonapple,0,0,2.5
fallow,0,5,0
falls,4.153960847,1.686577809,1.300376807
FALSE,7.230516926,1.554115845,0.74492186
falter,0,0,2.5
faltering,2.5,0,0
fam,5.678873587,2.095903274,0
famed,2.5,0,0
fami,2.5,0,0
familial,12.62925314,1.285097209,0
familiar,4.348456805,1.53089535,1.381609366
famous,3.321928095,0.782011483,2.862584424
famuyiwa,5,0,0
fan,1.047951637,1.53089535,5.678873587
fanatic,2.095903274,0,5.678873587
fanatical,3.321928095,0,3.321928095
fanatically,0,2.5,0
fanboy,2.5,0,0
fancied,0,2.5,0
fancier,0,0,2.5
fancies,2.5,0,0
fanciest,0,0,2.5
fanciful,19.54937806,0,1.047951637
fancy,1.201188341,2.395005562,3.054750902
fang,2.5,0,0
fangirled,0,0,2.5
fangoria,2.5,0,0
fanjennitastic,0,0,2.5
fanned,0,0,2.5
fans,0,2.5,0
fanta,0,0,2.5
fantabulous,0,0,2.5
fantactic,0,0,2.5
fantas,0,0,5
fantasized,5,0,0
fantasti,2.5,0,0
fantastic,1.217112192,1.013759563,7.858997543
fantastical,0,2.5,0
fantastically,3.321928095,0,3.321928095
fantasy,3.321928095,1,2.512941595
fapping,0,0,2.5
faq,2.5,0,0
far,2.366513921,1.61419489,2.391989806
faraway,2.5,0,0
farcical,10.31885116,1.430676558,0
farcically,2.5,0,0
fare,1.660964047,8.00392278,0
farenheit,2.5,0,0
fares,2.5,0,0
fariah,0,0,2.5
farmington,0,2.5,0
farnie,0,0,2.5
farrah,0,0,2.5
farrell,0,2.5,0
farrelly,12.62925314,0,1.285097209
farscale,0,0,2.5
fart,2.5,0,0
farther,0,0,7.5
farting,0,0,2.5
fartingpen,0,0,7.5
farts,2.5,0,0
fascinate,7.5,0,0
fascinated,5.678873587,2.095903274,0
fascinates,0,0,2.5
fascinati,0,0,2.5
fascinating,8.685468793,1.27527985,0.858846178
fash,0,0,2.5
fashioned,12.1674105,0.861053515,1.01494327
fashioning,2.5,0,0
fashiontrix,0,0,2.5
fast,1.194353998,1.961115903,3.798794065
fasten,2.095903274,0,5.678873587
fastened,0,0,2.5
faster,1.31172144,2.652476963,2.564292723
fastest,2.095903274,1.285097209,3.321928095
fastpulls,0,0,2.5
fat,1.183294662,1.660964047,4.614480675
fatal,6.610797699,0.812711509,1.591371127
fatale,3.321928095,3.321928095,0
fatally,3.321928095,3.321928095,0
fate,0,0,2.5
fateful,2.5,0,0
fathered,0,0,2.5
fathom,2.095903274,0,5.678873587
fatigue,0,0,2.5
fatimauk,0,0,2.5
fatten,0,0,7.5
fattening,0,0,2.5
fattens,0,0,2.5
fatter,0,0,7.5
fattuesday,0,0,2.5
fatty,0,0,5
fault,3.917382327,0,2.839436794
faulted,2.5,0,0
faultlessly,0,2.5,0
faulty,2.095903274,2.095903274,2.095903274
faux,8.00392278,0.926628408,1.285097209
fav,0,0,10
fave,0,2.095903274,5.678873587
faveeee,0,0,2.5
faves,0,0,2.5
favor,0,1.107309365,17.24377353
favorable,0,2.095903274,5.678873587
favorably,11.47444617,0,1.35068935
favored,3.321928095,1.660964047,1.660964047
favorite,0.715338279,1.290837719,9.874122864
favors,1.430676558,10.31885116,0
favour,0,2.5,0
favourite,1,0,21.85434533
fax,5,0,0
fb,0,3.321928095,3.321928095
fbq,0,0,2.5
fc,5.678873587,0,2.095903274
fcp,0,0,2.5
fdw,0,0,2.5
fe,2.095903274,0,5.678873587
fea,2.5,0,0
fear,2.34759015,0,4.899079389
feared,0,0,2.5
fearful,1.285097209,5.678873587,1.285097209
fearing,5,0,0
fearless,5,0,0
fearlessly,2.5,0,0
fears,2.5,0,0
feast,5.678873587,2.095903274,0
feasting,0,0,5
feat,0,10,0
featherweight,3.321928095,3.321928095,0
feature,3.321928095,1.660964047,1.660964047
featured,1.53089535,2.839436794,2.095903274
features,1.53089535,1.53089535,3.917382327
featurestill,0,2.5,0
featuring,3.321928095,1.49475316,1.838005394
feb,10.31885116,1.142777131,0.850274154
february,4.11458208,2.717562738,0
fed,2.095903274,1.53089535,2.839436794
federal,10.31885116,0,1.430676558
fedexed,2.5,0,0
fedexing,0,0,2.5
fedora,0,0,2.5
fedup,2.5,0,0
fee,5.678873587,1.047951637,1.53089535
feeble,7.5,0,0
feed,1.15566665,3.798794065,2.010759005
feedback,0,1.047951637,19.54937806
feeding,0,0,12.5
feeds,3.321928095,3.321928095,0
feel,2.04232593,1.293252982,3.395595787
feeli,2.5,0,0
feelin,0,0,2.5
feeling,1.674770962,1.211275668,4.473954469
feels,1.929912873,1.60266213,2.957076815
feelshorrible,0,0,2.5
feely,0,2.5,0
feh,0,0,2.5
feijoa,0,0,2.5
feijoda,0,0,2.5
feisty,2.5,0,0
feling,0,0,2.5
felinni,2.5,0,0
fell,1.931474731,2.028745202,2.34759015
fella,0,0,2.5
fellow,1.838005394,0.87250287,5.211440485
fellowship,2.5,0,0
feloow,0,0,2.5
felt,3.044434335,1.270476761,2.29925453
female,2.477133963,1.361126527,2.66195597
feminine,5,0,0
feminism,2.5,0,0
feminist,8.00392278,0,1.660964047
feminized,2.5,0,0
femme,2.095903274,5.678873587,0
fend,2.5,0,0
fended,0,0,2.5
fender,0,1.445774565,10.12615634
fendurself,2.5,0,0
feral,7.5,0,0
fergalicious,0,0,2.5
ferment,2.5,0,0
fern,0,0,5
ferocious,0,2.5,0
ferret,2.5,0,0
ferretprincess,0,0,2.5
ferry,2.5,0,0
fertile,3.321928095,0,3.321928095
fervently,8.00392278,1.660964047,0
fervid,2.5,0,0
ferzan,0,2.5,0
fessenden,5.678873587,2.095903274,0
fest,8.00392278,0,1.660964047
festival,14.93723606,0,1.183294662
festive,0,2.5,0
festooning,0,2.5,0
fetal,0,0,2.5
fetch,0,0,2.5
fetched,7.5,0,0
fetching,2.5,0,0
fete,2.5,0,0
fetishistic,2.5,0,0
fetishized,0,2.5,0
fever,0,0,2.5
few,1.892258232,1.675368544,2.890355472
fewer,6.843313779,1.183294662,1.183294662
ff,5.678873587,0,2.095903274
ffmpeg,0,0,2.5
ffrom,0,0,2.5
fftw,0,0,2.5
fi,3.798794065,1.554115845,1.554115845
fian,0,2.5,0
fianc,2.5,0,0
fiber,0,3.321928095,3.321928095
fibre,0,0,2.5
fictional,2.512941595,2.512941595,1.430676558
fictionalize,0,2.5,0
fictitious,0,2.5,0
fiddle,7.230516926,0,1.772196759
fiddling,0,3.321928095,3.321928095
fiddly,0,10,0
fide,3.321928095,3.321928095,0
fidely,0,0,2.5
fidget,0,0,2.5
fidgeted,2.5,0,0
fied,0,2.5,0
fieldsofcake,0,0,2.5
fiendish,2.5,0,0
fiendishly,2.5,0,0
fier,0,0,2.5
fierce,20,0,0
fiercely,2.512941595,1.430676558,2.512941595
fiery,5,0,0
fifteen,5.678873587,0,2.095903274
fifth,3.321928095,1.660964047,1.660964047
fifty,2.717562738,1.838005394,1.838005394
fight,2.839436794,0.79663977,3.321928095
fighting,3.917382327,1.285097209,1.797583147
fights,3.321928095,0,3.321928095
fightstar,0,0,2.5
figpsychic,0,0,2.5
figurative,0,2.5,0
figuratively,0,3.321928095,3.321928095
figure,1.969716606,2.434409502,1.917635518
figured,1.043180022,2.445374055,3.321928095
figures,3.321928095,0,3.321928095
figuring,1.142777131,2.512941595,3.02120993
fiiiine,0,0,2.5
fiiine,0,0,2.5
fil,5,0,0
file,5.094382474,0.960252568,1.772196759
filed,8.390218475,0.715338279,1.430676558
files,0,3.321928095,3.321928095
fileserver,0,0,2.5
filing,0,0,10
fill,2.993740785,1.631896776,1.8740538
filled,3.399157207,1.604494406,1.680049474
filler,0,0,2.5
filling,4.11458208,0.87250287,2.236345833
fills,3.321928095,1.107309365,2.34759015
filmcr,0,2.5,0
filmcre,0,2.5,0
filmcrew,2.5,0,0
filmed,5.345117011,1,1.660964047
filmic,0,2.5,0
filming,7.5,0,0
filmj,2.5,0,0
filmmaker,4.507575552,2.512941595,0
filmmakers,2.5,0,0
filmmaking,10.31885116,1.213726655,0.768621787
films,12.62925314,0,1.285097209
filmsy,0,0,2.5
filter,2.095903274,1.742065383,2.512941595
filtering,0,0,2.5
filteris,0,0,2.5
filthy,5,0,0
filthyplane,5,0,0
fin,4.507575552,1.430676558,1.430676558
fina,0,0,2.5
finailse,0,0,2.5
final,3.521168217,1.313856875,1.948051591
finale,5,0,0
finalized,0,0,2.5
finalizing,0,3.321928095,3.321928095
finall,2.5,0,0
finally,2.0711781,1.240853147,3.466429331
financegradth,0,0,2.5
financial,0,1.838005394,6.843313779
financially,0,0,2.5
finch,2.5,0,0
fincher,5.678873587,0,2.095903274
find,2.022605216,1.649699532,2.743606303
finding,3.454850525,1.15044122,2.201390359
findings,2.5,0,0
finds,5.159425579,1.808835177,0.911651811
fine,2.046632949,1.887569207,2.380359822
finely,9.162168319,0,1.53089535
finer,0,0,2.5
finest,2.785345076,1.375518225,2.34759015
fing,0,0,2.5
finger,0,2.180369549,5.386869422
fingerboard,0,0,17.5
fingered,3.321928095,1.285097209,2.095903274
fingering,1.285097209,0,12.62925314
fingerlike,0,0,5
fingerpacking,0,0,2.5
fingerpicking,0,0,7.5
fingerprint,0,2.5,0
fingerscrossed,2.5,0,0
fingerstyle,0,5.678873587,2.095903274
finicky,13.39878761,0.782011483,1.022783939
finish,1.761521395,1.820804823,2.860122867
finished,1.885487672,0.5285148,6.261707716
finishes,1.430676558,10.31885116,0
finishing,0.960252568,0,24.15885793
finite,0,0,2.5
finland,0,0,2.5
finnair,2.5,0,0
finned,0,0,2.5
fins,0,0,2.5
finsihed,0,0,2.5
fiqaa,0,0,2.5
fire,1.912489289,3.321928095,1.430676558
fired,4.507575552,0,2.512941595
firefox,0,0,2.5
fireos,0,2.5,0
fires,2.5,0,0
firestick,0,2.5,0
firetv,0,2.5,0
firing,5.678873587,0,2.095903274
firm,0,2.512941595,4.507575552
firmer,3.321928095,0,3.321928095
firmly,1.142777131,1.582220363,5.041144466
first,2.206580041,1.558597437,2.650928014
firstly,10.31885116,0,1.430676558
firth,0,0,2.5
fiscal,2.5,0,0
fish,1.613452949,1.430676558,3.971217048
fisher,2.5,0,0
fishing,0,0,5
fishman,0,0,15
fishy,2.5,0,0
fispahani,2.5,0,0
fist,10.31885116,0,1.430676558
fisted,5.678873587,1.285097209,1.285097209
fists,0,2.5,0
fit,2.379003194,1.694641816,2.273038915
fitbit,0,2.5,0
fitfully,2.512941595,0,4.507575552
fits,0.698634425,1.573604368,7.363951139
fitted,0,0,12.5
fitter,0,0,2.5
fitting,1.35068935,2.576123341,2.576123341
fix,4.774648717,0.94277556,1.889577179
fixated,2.5,0,0
fixating,5,0,0
fixed,1.402110708,1.622585269,4.027002742
fixes,0,3.321928095,3.321928095
fixing,1.838005394,2.236345833,2.236345833
fixtures,0,2.5,0
fizz,0,0,2.5
fizzle,2.5,0,0
fizzy,10.31885116,0,1.430676558
fizzyduck,0,0,2.5
fjbfsc,2.5,0,0
fl,2.717562738,2.236345833,1.49475316
flabby,5,0,0
flac,0,0,2.5
flaccid,5.678873587,2.095903274,0
flag,0,2.5,0
flagged,0,0,2.5
flagging,5.678873587,0,2.095903274
flagrantly,2.5,0,0
flags,2.5,0,0
flaili,0,0,2.5
flailing,8.00392278,0,1.660964047
flak,0,0,2.5
flake,0,0,2.5
flakey,0,10,0
flaky,0,2.5,0
flamboyant,12.5,0,0
flamenco,0,0,5
flamin,0,0,2.5
flammable,0,20,0
flange,0,0,2.5
flanger,0,0,5
flapping,0,0,2.5
flappy,0,0,2.5
flaps,20,0,0
flash,0,5.678873587,2.095903274
flashback,2.5,0,0
flashbulb,2.5,0,0
flashbulbs,2.5,0,0
flashed,0,0,2.5
flashier,0,0,5
flashing,1.660964047,0,8.00392278
flashlight,5.678873587,0,2.095903274
flashsell,0,0,2.5
flashy,4.339356392,1.075941077,1.88154218
flat,2.314585071,1.562869833,2.520094582
flatbush,0,2.5,0
flatfooted,2.5,0,0
flatly,5,0,0
flatpick,0,0,2.5
flatpicking,0,0,7.5
flatten,0,0,2.5
flattened,2.5,0,0
flattening,2.5,0,0
flatter,3.321928095,0,3.321928095
flattering,1.660964047,3.321928095,1.660964047
flattop,0,0,2.5
flatulence,2.5,0,0
flatulent,0,0,2.5
flatwound,0,0,10
flaunting,0,2.5,0
flavorful,3.321928095,3.321928095,0
flavorless,5,0,0
flavoured,0,0,2.5
flawed,28.76695654,0.897711718,0
flawless,1.285097209,1.285097209,5.678873587
flawlessly,0,1.022783939,20.70192803
flaws,5,0,0
flck,2.5,0,0
fledged,2.5,0,0
fledgling,2.5,0,0
flee,5,0,0
fleeing,0,2.5,0
fleek,1.35068935,5.678873587,1.220190836
fleeting,5.678873587,2.095903274,0
fleetingly,3.321928095,0,3.321928095
fleming,0,2.5,0
flesh,4.507575552,0,2.512941595
fleshed,5.678873587,2.095903274,0
fleshy,0,0,2.5
flew,3.69875592,1.409058247,1.750114545
flex,5.139415254,1.047951637,1.660964047
flexes,0,10,0
flexible,1.898221037,1.15044122,4.065331019
fli,3.321928095,3.321928095,0
flick,4.271985235,1.285097209,1.660964047
flicker,0,0,2.5
flickering,5,0,0
flickin,0,0,2.5
flier,2.512941595,2.512941595,1.430676558
flierfriendly,5,0,0
flies,10,0,0
flig,5.678873587,0,2.095903274
fligh,4.675522919,2.095903274,0.79663977
flightcancelled,0,2.5,0
flightd,2.5,0,0
